team,matches,travel_km
Chennai Super Kings,14,6873.55
Delhi Capitals,14,9487.28
Kings XI Punjab,14,13364.85
Kolkata Knight Riders,14,15846.49
Mumbai Indians,14,10250.45
Rajasthan Royals,14,12110.12
Royal Challengers Bangalore,14,11601.92
Sunrisers Hyderabad,14,9693.26
